Age,EstimatedSalary,Gender,IsStudent,DailyInternetUsage,TimeSpentOnApp,Purchased
56,53194,Female,0,212,20.51,1
46,77542,Female,0,61,41.71,1
32,15000,Female,1,276,18.42,1
25,119811,Male,1,82,19.06,1
38,54619,Male,0,181,23.33,1
56,62339,Male,0,119,36.23,1
36,84865,Female,1,286,29.11,1
40,113472,Male,1,35,51.24,1
28,55271,Female,1,230,34.49,1
28,87234,Male,0,39,39.43,1
41,53226,Male,1,91,38.11,1
53,93506,Male,0,263,43.87,1
57,87428,Male,1,64,50.5,1
41,43351,Female,0,73,30.9,1
20,84475,Male,0,174,3.77,1
39,34317,Male,0,220,7.04,1
19,51464,Female,0,202,15.6,1
41,36514,Female,0,265,55.48,1
47,70023,Female,0,94,41.55,1
55,94958,Female,0,229,10.89,1
19,38935,Female,0,190,26.34,1
38,80022,Female,0,213,52.13,1
50,63952,Female,0,221,49.97,1
29,44331,Male,0,107,56.12,1
39,59449,Female,0,210,24.12,1
42,84472,Male,1,168,57.07,1
44,93505,Male,1,239,14.58,1
59,77687,Male,0,30,26.51,1
45,69073,Female,1,277,46.66,1
33,70573,Female,0,141,46.7,1
32,51708,Male,1,172,39.49,1
20,72422,Male,0,184,50.94,1
54,33244,Female,0,60,37.4,1
24,67035,Female,0,151,28.97,1
38,112483,Female,0,60,8.27,1
26,59026,Female,0,102,4.83,1
56,98029,Female,0,138,27.7,1
35,86773,Male,1,62,53.54,1
21,105945,Female,1,31,37.77,1
42,15000,Female,0,48,5.9,1
31,74426,Female,1,125,32.75,1
26,84701,Female,0,124,29.23,1
43,89959,Male,1,198,49.57,1
19,100032,Male,0,48,25.56,1
37,87410,Male,0,227,10.59,1
45,75914,Female,0,259,59.93,1
24,46030,Male,0,117,47.14,1
25,22427,Female,1,213,1.68,1
52,103482,Male,0,272,58.52,1
31,54817,Female,1,37,34.93,1
34,61243,Female,0,51,7.5,1
53,92638,Male,1,148,23.76,1
57,69523,Female,0,94,1.98,1
21,41068,Male,1,246,28.2,1
19,27312,Male,0,218,10.44,1
23,61037,Male,0,32,4.34,1
